
sub-010002 ep00
 min_cluster_size  n_clusters   n_noise
               20           0      1465
               30           0      1465
               50           0      1465
              100           0      1465
              150           0      1465
              200           0      1465

sub-010134 ep06
 min_cluster_size  n_clusters   n_noise
                3           2        69
                5           2       929
                7           2      1034
                8           2      1262
               10           2      1311
               20           0      1394
               30           0      1394
               50           0      1394
              100           0      1394
              150           0      1394
              200           0      1394

sub-010136 ep00
 min_cluster_size  n_clusters   n_noise
                3           5       293
                5          10      1260
                7           2      1226
                8           4      1330
               10           2      1365
               20           2      1338
               30           0      1408
               50           0      1408
              100           0      1408
              150           0      1408
              200           0      1408

sub-010136 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        30
                5           2       889
                7           3      1136
                8           0      1389
               10           2      1367
               20           0      1389
               30           0      1389
               50           0      1389
              100           0      1389
              150           0      1389
              200           0      1389

sub-010136 ep02
 min_cluster_size  n_clusters   n_noise
                3           7       232
                5           2       929
                7           2      1379
                8           3      1401
               10           2      1415
               20           2      1393
               30           2      1427
               50           0      1543
              100           0      1543
              150           0      1543
              200           0      1543

sub-010136 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       123
                5           2       400
                7           2      1129
                8           2      1256
               10           3      1286
               20           0      1379
               30           0      1379
               50           0      1379
              100           0      1379
              150           0      1379
              200           0      1379

sub-010136 ep04
 min_cluster_size  n_clusters   n_noise
                3           2         2
                5           2       857
                7           2      1192
                8           3      1442
               10           2      1468
               20           0      1495
               30           0      1495
               50           0      1495
              100           0      1495
              150           0      1495
              200           0      1495

sub-010136 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       148
                5           3       931
                7           3      1365
                8           2      1241
               10           2      1392
               20           2      1368
               30           0      1449
               50           0      1449
              100           0      1449
              150           0      1449
              200           0      1449

sub-010136 ep06
 min_cluster_size  n_clusters   n_noise
                3           4       200
                5           3      1074
                7           3      1134
                8           2      1101
               10           3      1135
               20           2      1188
               30           2      1164
               50           0      1251
              100           0      1251
              150           0      1251
              200           0      1251

sub-010137 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        97
                5           6       832
                7           3       898
                8           2       868
               10           2       850
               20           2       770
               30           2       759
               50           2       760
              100           2       796
              150           2       867
              200           2       948

sub-010137 ep01
 min_cluster_size  n_clusters   n_noise
                3           5       214
                5           8      1528
                7           4      1606
                8           2      1431
               10           2      1416
               20           2      1370
               30           2      1458
               50           2      1328
              100           2      1301
              150           2      1479
              200           2      1538

sub-010137 ep02
 min_cluster_size  n_clusters   n_noise
                3           6       113
                5           9       799
                7           2       690
                8           2       663
               10           2       737
               20           2       698
               30           2       688
               50           2       692
              100           2       759
              150           2       800
              200           0      1263

sub-010137 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        95
                5           3       548
                7           2       569
                8           2       543
               10           2       535
               20           2       532
               30           2       526
               50           2       442
              100           2       534
              150           2       529
              200           2       581

sub-010137 ep04
 min_cluster_size  n_clusters   n_noise
                3           5       258
                5           4       635
                7           2       702
                8           2       725
               10           2       685
               20           2       689
               30           2       722
               50           2       650
              100           2       725
              150           2       739
              200           0      1254

sub-010137 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        22
                5           3       553
                7           3       573
                8           3       573
               10           2       571
               20           2       616
               30           2       594
               50           2       518
              100           2       580
              150           2       715
              200           0      1274

sub-010137 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       188
                5           4       741
                7           2       726
                8           4      1002
               10           2       947
               20           2       943
               30           2       976
               50           2       919
              100           0      1167
              150           0      1167
              200           0      1167

sub-010138 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        71
                5           5       706
                7           2      1448
                8           2      1473
               10           2      1499
               20           0      1570
               30           0      1570
               50           0      1570
              100           0      1570
              150           0      1570
              200           0      1570

sub-010138 ep01
 min_cluster_size  n_clusters   n_noise
                3           7       234
                5           5       976
                7           2       564
                8           3      1514
               10           2      1513
               20           0      1608
               30           0      1608
               50           0      1608
              100           0      1608
              150           0      1608
              200           0      1608

sub-010138 ep02
 min_cluster_size  n_clusters   n_noise
                3           4       145
                5           3      1202
                7           3      1397
                8           2      1398
               10           2      1410
               20           2      1448
               30           0      1545
               50           0      1545
              100           0      1545
              150           0      1545
              200           0      1545

sub-010138 ep03
 min_cluster_size  n_clusters   n_noise
                3          10       292
                5           3      1220
                7           2      1577
                8           2      1568
               10           2      1574
               20           0      1664
               30           0      1664
               50           0      1664
              100           0      1664
              150           0      1664
              200           0      1664

sub-010138 ep04
 min_cluster_size  n_clusters   n_noise
                3           2        23
                5           3       839
                7           3       750
                8           2      1653
               10           2      1641
               20           2      1647
               30           2      1665
               50           0      1739
              100           0      1739
              150           0      1739
              200           0      1739

sub-010138 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       103
                5           3       496
                7           2       423
                8           2      1427
               10           0      1522
               20           0      1522
               30           0      1522
               50           0      1522
              100           0      1522
              150           0      1522
              200           0      1522

sub-010138 ep06
 min_cluster_size  n_clusters   n_noise
                3          16       471
                5           2       352
                7           2      1246
                8           3      1235
               10           2      1219
               20           0      1333
               30           0      1333
               50           0      1333
              100           0      1333
              150           0      1333
              200           0      1333

sub-010141 ep00
 min_cluster_size  n_clusters   n_noise
                3           3       285
                5          15      1947
                7           2      1896
                8           5      1984
               10           2      1950
               20           2      2044
               30           0      2107
               50           0      2107
              100           0      2107
              150           0      2107
              200           0      2107

sub-010141 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       183
                5           2       752
                7           2      1371
                8           2      1278
               10           2      1464
               20           2      1499
               30           2      1522
               50           0      1626
              100           0      1626
              150           0      1626
              200           0      1626

sub-010141 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       295
                5           3      1118
                7           2      1277
                8           2      1474
               10           3      1535
               20           2      1577
               30           2      1555
               50           0      1639
              100           0      1639
              150           0      1639
              200           0      1639

sub-010141 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       163
                5           5      1903
                7           4      2174
                8           3      2162
               10           2      2165
               20           2      2237
               30           0      2282
               50           0      2282
              100           0      2282
              150           0      2282
              200           0      2282

sub-010141 ep04
 min_cluster_size  n_clusters   n_noise
                3           8       424
                5           7      1600
                7           2      1589
                8           2      1613
               10           3      1641
               20           0      1705
               30           0      1705
               50           0      1705
              100           0      1705
              150           0      1705
              200           0      1705

sub-010141 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       108
                5           4      1425
                7           3      1490
                8           3      1497
               10           4      1542
               20           0      1597
               30           0      1597
               50           0      1597
              100           0      1597
              150           0      1597
              200           0      1597

sub-010141 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       165
                5           9      1289
                7           5      1314
                8           3      1332
               10           2      1333
               20           0      1389
               30           0      1389
               50           0      1389
              100           0      1389
              150           0      1389
              200           0      1389

sub-010142 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        27
                5           2       874
                7           3      1201
                8           2      1225
               10           2      1229
               20           2      1313
               30           2      1320
               50           0      1429
              100           0      1429
              150           0      1429
              200           0      1429

sub-010142 ep01
 min_cluster_size  n_clusters   n_noise
                3           3        57
                5           3      1140
                7           3      1379
                8           2      1403
               10           2      1404
               20           2      1406
               30           2      1453
               50           0      1571
              100           0      1571
              150           0      1571
              200           0      1571

sub-010142 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        44
                5           2       573
                7           2      1266
                8           2      1248
               10           2      1223
               20           2      1251
               30           2      1306
               50           2      1305
              100           0      1457
              150           0      1457
              200           0      1457

sub-010142 ep03
 min_cluster_size  n_clusters   n_noise
                3           3       175
                5           2      1050
                7           2      1005
                8           2      1038
               10           2      1369
               20           2      1406
               30           2      1419
               50           0      1542
              100           0      1542
              150           0      1542
              200           0      1542

sub-010142 ep04
 min_cluster_size  n_clusters   n_noise
                3           2         8
                5          10      1273
                7           2      1269
                8           3      1291
               10           2      1298
               20           2      1366
               30           2      1345
               50           0      1424
              100           0      1424
              150           0      1424
              200           0      1424

sub-010142 ep05
 min_cluster_size  n_clusters   n_noise
                3           6       124
                5           5      1246
                7           3      1284
                8           2      1248
               10           2      1303
               20           2      1298
               30           2      1352
               50           2      1354
              100           0      1531
              150           0      1531
              200           0      1531

sub-010142 ep06
 min_cluster_size  n_clusters   n_noise
                3           7       108
                5           2       810
                7           2      1146
                8           2      1152
               10           3      1225
               20           2      1190
               30           2      1222
               50           0      1346
              100           0      1346
              150           0      1346
              200           0      1346

sub-010146 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        20
                5           2       964
                7           2      1526
                8           2      1544
               10           2      1544
               20           2      1566
               30           2      1593
               50           0      1690
              100           0      1690
              150           0      1690
              200           0      1690

sub-010146 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        38
                5           2      1286
                7           3      1564
                8           3      1585
               10           3      1569
               20           2      1579
               30           2      1593
               50           0      1667
              100           0      1667
              150           0      1667
              200           0      1667

sub-010146 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        28
                5           2      1051
                7           3      1805
                8           2      1690
               10           2      1716
               20           2      1837
               30           2      1807
               50           2      1746
              100           0      1926
              150           0      1926
              200           0      1926

sub-010146 ep03
 min_cluster_size  n_clusters   n_noise
                3           3        87
                5           2       480
                7           3      1508
                8           2      1499
               10           2      1511
               20           2      1493
               30           2      1515
               50           0      1636
              100           0      1636
              150           0      1636
              200           0      1636

sub-010146 ep04
 min_cluster_size  n_clusters   n_noise
                3           3       144
                5           2       751
                7           2       805
                8           2      1658
               10           2      1663
               20           2      1707
               30           2      1748
               50           0      1830
              100           0      1830
              150           0      1830
              200           0      1830

sub-010146 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        21
                5           2       866
                7           2      1396
                8           2      1451
               10           2      1512
               20           2      1541
               30           2      1525
               50           2      1469
              100           0      1621
              150           0      1621
              200           0      1621

sub-010146 ep06
 min_cluster_size  n_clusters   n_noise
                3           8       306
                5           2      1309
                7           4      1486
                8           3      1461
               10           2      1465
               20           2      1489
               30           0      1547
               50           0      1547
              100           0      1547
              150           0      1547
              200           0      1547

sub-010148 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        56
                5           2      1012
                7           3      1287
                8           3      1294
               10           3      1311
               20           2      1278
               30           0      1365
               50           0      1365
              100           0      1365
              150           0      1365
              200           0      1365

sub-010148 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        42
                5           2      1334
                7           2      1351
                8           2      1361
               10           2      1374
               20           0      1429
               30           0      1429
               50           0      1429
              100           0      1429
              150           0      1429
              200           0      1429

sub-010148 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       146
                5           2       941
                7           5      1392
                8           2      1406
               10           2      1363
               20           2      1460
               30           0      1521
               50           0      1521
              100           0      1521
              150           0      1521
              200           0      1521

sub-010148 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        38
                5           3      1363
                7           4      1690
                8           3      1726
               10           0      1841
               20           0      1841
               30           0      1841
               50           0      1841
              100           0      1841
              150           0      1841
              200           0      1841

sub-010148 ep04
 min_cluster_size  n_clusters   n_noise
                3           7       742
                5           2      1125
                7           3      1296
                8           2      1321
               10           2      1324
               20           0      1367
               30           0      1367
               50           0      1367
              100           0      1367
              150           0      1367
              200           0      1367

sub-010148 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       368
                5           3      1077
                7           2      1296
                8           2      1287
               10           2      1271
               20           2      1297
               30           0      1404
               50           0      1404
              100           0      1404
              150           0      1404
              200           0      1404

sub-010148 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       203
                5           6      1199
                7           5      1270
                8           2      1292
               10           2      1254
               20           2      1290
               30           0      1340
               50           0      1340
              100           0      1340
              150           0      1340
              200           0      1340

sub-010150 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       186
                5           3      1093
                7           3      1522
                8           2      1518
               10           2      1520
               20           0      1567
               30           0      1567
               50           0      1567
              100           0      1567
              150           0      1567
              200           0      1567

sub-010150 ep01
 min_cluster_size  n_clusters   n_noise
                3           6       394
                5           2      1149
                7           2      1484
                8           2      1484
               10           2      1536
               20           2      1549
               30           2      1510
               50           0      1632
              100           0      1632
              150           0      1632
              200           0      1632

sub-010150 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       107
                5           2       189
                7           2      1415
                8           3      1457
               10           2      1461
               20           0      1575
               30           0      1575
               50           0      1575
              100           0      1575
              150           0      1575
              200           0      1575

sub-010150 ep03
 min_cluster_size  n_clusters   n_noise
                3           4       276
                5           2      1316
                7           2      1409
                8           3      1432
               10           3      1480
               20           2      1527
               30           2      1541
               50           0      1623
              100           0      1623
              150           0      1623
              200           0      1623

sub-010150 ep04
 min_cluster_size  n_clusters   n_noise
                3           4       159
                5           2      1096
                7           2      1327
                8           2      1312
               10           2      1326
               20           2      1372
               30           2      1394
               50           2      1398
              100           0      1574
              150           0      1574
              200           0      1574

sub-010150 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       358
                5           3      1487
                7           4      1575
                8           2      1557
               10           2      1593
               20           2      1602
               30           0      1686
               50           0      1686
              100           0      1686
              150           0      1686
              200           0      1686

sub-010150 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       303
                5           6      1270
                7           5      1374
                8           3      1324
               10           4      1372
               20           2      1360
               30           0      1469
               50           0      1469
              100           0      1469
              150           0      1469
              200           0      1469

sub-010152 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        79
                5           8       988
                7           4      1007
                8           3      1016
               10           2       994
               20           2      1080
               30           2      1131
               50           2      1064
              100           0      1397
              150           0      1397
              200           0      1397

sub-010152 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       135
                5           2       155
                7           3      1045
                8           2      1042
               10           2       992
               20           2      1089
               30           2      1095
               50           2       979
              100           2       957
              150           0      1376
              200           0      1376

sub-010152 ep02
 min_cluster_size  n_clusters   n_noise
                3           4       363
                5           6      1378
                7           2      1119
                8           2      1163
               10           2      1209
               20           2      1064
               30           2      1230
               50           2      1118
              100           2      1052
              150           2       905
              200           2      1028

sub-010152 ep03
 min_cluster_size  n_clusters   n_noise
                3          20       591
                5           3       629
                7           4       659
                8           3       703
               10           3       676
               20           2       711
               30           2       630
               50           2       652
              100           2       618
              150           2       688
              200           2       730

sub-010152 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       139
                5           3       811
                7           3       817
                8           3       850
               10           3       826
               20           2       854
               30           2       787
               50           2       826
              100           2       710
              150           2       713
              200           2       754

sub-010152 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       185
                5           4       755
                7           2       634
                8           3       684
               10           3       704
               20           2       723
               30           2       746
               50           2       770
              100           2       762
              150           2       691
              200           2       698

sub-010152 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       163
                5           7       742
                7           5       779
                8           3       788
               10           3       806
               20           2       820
               30           2       802
               50           2       774
              100           2       782
              150           0      1229
              200           0      1229

sub-010155 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       171
                5           9      1250
                7           4      1306
                8           2      1291
               10           2      1271
               20           0      1361
               30           0      1361
               50           0      1361
              100           0      1361
              150           0      1361
              200           0      1361

sub-010155 ep01
 min_cluster_size  n_clusters   n_noise
                3           6       510
                5           5      1211
                7           3      1124
                8           2      1141
               10           2      1199
               20           0      1455
               30           0      1455
               50           0      1455
              100           0      1455
              150           0      1455
              200           0      1455

sub-010155 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       114
                5           2       874
                7           2      1065
                8           3      1300
               10           2      1311
               20           0      1349
               30           0      1349
               50           0      1349
              100           0      1349
              150           0      1349
              200           0      1349

sub-010155 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        26
                5           2      1145
                7           2      1180
                8           3      1317
               10           2      1305
               20           0      1358
               30           0      1358
               50           0      1358
              100           0      1358
              150           0      1358
              200           0      1358

sub-010155 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       172
                5           3       701
                7           3      1304
                8           3      1397
               10           0      1461
               20           0      1461
               30           0      1461
               50           0      1461
              100           0      1461
              150           0      1461
              200           0      1461

sub-010155 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       147
                5           3      1026
                7           2      1235
                8           3      1264
               10           2      1248
               20           2      1246
               30           0      1404
               50           0      1404
              100           0      1404
              150           0      1404
              200           0      1404

sub-010157 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       193
                5           2       875
                7           2      1118
                8           2      1141
               10           2      1182
               20           2      1289
               30           0      1440
               50           0      1440
              100           0      1440
              150           0      1440
              200           0      1440

sub-010157 ep01
 min_cluster_size  n_clusters   n_noise
                3           6       505
                5           2      1088
                7           3      1753
                8           3      1782
               10           3      1814
               20           2      1820
               30           0      2029
               50           0      2029
              100           0      2029
              150           0      2029
              200           0      2029

sub-010157 ep02
 min_cluster_size  n_clusters   n_noise
                3           4       228
                5           2       849
                7           4      1150
                8           2      1174
               10           2      1161
               20           2      1163
               30           0      1425
               50           0      1425
              100           0      1425
              150           0      1425
              200           0      1425

sub-010157 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        96
                5           2       701
                7           2      1134
                8           3      1224
               10           3      1265
               20           0      1510
               30           0      1510
               50           0      1510
              100           0      1510
              150           0      1510
              200           0      1510

sub-010157 ep04
 min_cluster_size  n_clusters   n_noise
                3           2        61
                5           6      1437
                7           3      1382
                8           2      1446
               10           2      1432
               20           2      1446
               30           2      1392
               50           0      1690
              100           0      1690
              150           0      1690
              200           0      1690

sub-010157 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       195
                5           6      1117
                7           2      1141
                8           2      1060
               10           2      1135
               20           2      1151
               30           2      1198
               50           0      1470
              100           0      1470
              150           0      1470
              200           0      1470

sub-010162 ep00
 min_cluster_size  n_clusters   n_noise
                3           4        64
                5           3       620
                7           3      1132
                8           3      1156
               10           2      1169
               20           0      1222
               30           0      1222
               50           0      1222
              100           0      1222
              150           0      1222
              200           0      1222

sub-010162 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        42
                5           3       333
                7           2      1132
                8           2      1151
               10           2      1167
               20           2      1185
               30           0      1243
               50           0      1243
              100           0      1243
              150           0      1243
              200           0      1243

sub-010162 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        31
                5           2       578
                7           2       990
                8           2      1133
               10           2      1121
               20           0      1164
               30           0      1164
               50           0      1164
              100           0      1164
              150           0      1164
              200           0      1164

sub-010162 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       126
                5           2       702
                7           2       873
                8           2       899
               10           2      1106
               20           2      1084
               30           0      1192
               50           0      1192
              100           0      1192
              150           0      1192
              200           0      1192

sub-010162 ep04
 min_cluster_size  n_clusters   n_noise
                3           2        37
                5           2       345
                7           2      1138
                8           2      1129
               10           2      1251
               20           0      1276
               30           0      1276
               50           0      1276
              100           0      1276
              150           0      1276
              200           0      1276

sub-010162 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        67
                5           3       946
                7           2       966
                8           2      1030
               10           2      1250
               20           0      1380
               30           0      1380
               50           0      1380
              100           0      1380
              150           0      1380
              200           0      1380

sub-010162 ep06
 min_cluster_size  n_clusters   n_noise
                3           7       278
                5           2       614
                7           3      1046
                8           3      1053
               10           2      1053
               20           0      1144
               30           0      1144
               50           0      1144
              100           0      1144
              150           0      1144
              200           0      1144

sub-010163 ep00
 min_cluster_size  n_clusters   n_noise
                3           4       322
                5           2      1038
                7           3      1352
                8           2      1039
               10           2      1365
               20           2      1424
               30           0      1580
               50           0      1580
              100           0      1580
              150           0      1580
              200           0      1580

sub-010163 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       351
                5           2       857
                7           2      1188
                8           3      1385
               10           3      1421
               20           0      1563
               30           0      1563
               50           0      1563
              100           0      1563
              150           0      1563
              200           0      1563

sub-010163 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        38
                5           2       638
                7           2      1281
                8           2      1276
               10           3      1435
               20           0      1487
               30           0      1487
               50           0      1487
              100           0      1487
              150           0      1487
              200           0      1487

sub-010163 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        25
                5           2       713
                7           3      1417
                8           3      1414
               10           2      1398
               20           2      1461
               30           0      1522
               50           0      1522
              100           0      1522
              150           0      1522
              200           0      1522

sub-010163 ep04
 min_cluster_size  n_clusters   n_noise
                3           3        45
                5           2      1212
                7           2      1375
                8           2      1403
               10           3      1412
               20           0      1488
               30           0      1488
               50           0      1488
              100           0      1488
              150           0      1488
              200           0      1488

sub-010163 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       156
                5           2       718
                7           2      1462
                8           2      1471
               10           2      1484
               20           0      1571
               30           0      1571
               50           0      1571
              100           0      1571
              150           0      1571
              200           0      1571

sub-010163 ep06
 min_cluster_size  n_clusters   n_noise
                3           6       266
                5           2       671
                7           2       995
                8           2      1167
               10           2      1186
               20           0      1307
               30           0      1307
               50           0      1307
              100           0      1307
              150           0      1307
              200           0      1307

sub-010164 ep00
 min_cluster_size  n_clusters   n_noise
