subject,epoch,min_cluster_size,n_clusters,n_noise
sub-010005,ep01,30,2,1335
sub-010005,ep01,50,2,1308
sub-010005,ep01,100,0,1462
sub-010005,ep01,150,0,1462
sub-010005,ep01,200,0,1462
sub-010005,ep02,3,4,205
sub-010005,ep02,5,4,1056
sub-010005,ep02,7,2,1147
sub-010005,ep02,8,2,1180
sub-010005,ep02,10,2,1214
sub-010005,ep02,20,2,1181
sub-010005,ep02,30,2,1204
sub-010005,ep02,50,0,1329
sub-010005,ep02,100,0,1329
sub-010005,ep02,150,0,1329
sub-010005,ep02,200,0,1329
sub-010005,ep03,3,6,252
sub-010005,ep03,5,2,709
sub-010005,ep03,7,2,1561
sub-010005,ep03,8,2,1583
sub-010005,ep03,10,2,1631
sub-010005,ep03,20,2,1654
sub-010005,ep03,30,2,1668
sub-010005,ep03,50,2,1699
sub-010005,ep03,100,0,1865
sub-010005,ep03,150,0,1865
sub-010005,ep03,200,0,1865
sub-010005,ep04,3,6,259
sub-010005,ep04,5,2,577
sub-010005,ep04,7,2,1238
sub-010005,ep04,8,2,1253
sub-010005,ep04,10,2,1168
sub-010005,ep04,20,2,1251
sub-010005,ep04,30,2,1259
sub-010005,ep04,50,0,1352
sub-010005,ep04,100,0,1352
sub-010005,ep04,150,0,1352
sub-010005,ep04,200,0,1352
sub-010005,ep05,3,2,192
sub-010005,ep05,5,2,903
sub-010005,ep05,7,3,1706
sub-010005,ep05,8,2,1690
sub-010005,ep05,10,2,1683
sub-010005,ep05,20,2,1743
sub-010005,ep05,30,2,1777
sub-010005,ep05,50,0,1879
sub-010005,ep05,100,0,1879
sub-010005,ep05,150,0,1879
sub-010005,ep05,200,0,1879
sub-010005,ep06,3,2,46
sub-010005,ep06,5,3,847
sub-010005,ep06,7,2,1051
sub-010005,ep06,8,2,1083
sub-010005,ep06,10,2,1078
sub-010005,ep06,20,2,1117
sub-010005,ep06,30,0,1188
sub-010005,ep06,50,0,1188
sub-010005,ep06,100,0,1188
sub-010005,ep06,150,0,1188
sub-010005,ep06,200,0,1188
sub-010006,ep00,3,3,90
